diffusion_rate,inflow_mols,integer,mean_frequency,sd_frequency
0.1,1000,2,58,13.487648670790126
0.1,2154.4346900318824,2,48.68,21.50333307497545
0.1,4641.588833612777,2,47.04,37.623662766934324
0.1,10000,2,44,74.49888142336992
0.1097498765493056,1000,2,58.88,15.851708635559346
0.1097498765493056,2154.4346900318824,2,51.92,23.30221734799788
0.1097498765493056,4641.588833612777,2,48.12,41.22026200790092
0.1097498765493056,10000,2,44.2,70.64170156501045
0.12045035402587824,1000,2,59.12,15.743570116082312
0.12045035402587824,2154.4346900318824,2,52.64,26.593984282164268
0.12045035402587824,4641.588833612777,2,47.92,36.41304711226458
0.12045035402587824,10000,2,45.2,73.85797181076664
0.1321941148466029,1000,2,60.4,14.396180048887969
0.1321941148466029,2154.4346900318824,2,53.88,23.062090104758504
0.1321941148466029,4641.588833612777,2,46.12,32.95365432441952
0.1321941148466029,10000,2,45.88,71.6684030797394
0.14508287784959398,1000,2,60.56,11.254924847964705
0.14508287784959398,2154.4346900318824,2,55.56,23.671501853494636
0.14508287784959398,4641.588833612777,2,49.68,39.22554439817672
0.14508287784959398,10000,2,46.4,69.55872818465464
0.1592282793341092,1000,2,58.52,13.067516979135707
0.1592282793341092,2154.4346900318824,2,55.2,26.51100400462671
0.1592282793341092,4641.588833612777,2,50.76,44.13924935172022
0.1592282793341092,10000,2,47,65.60360762437789
0.17475284000076838,1000,2,63.88,14.796733873843017
0.17475284000076838,2154.4346900318824,2,55.12,23.866503723838562
0.17475284000076838,4641.588833612777,2,53.36,38.08967489141031
0.17475284000076838,10000,2,49.92,72.7552518150179
0.19179102616724888,1000,2,66.28,14.105318146004365
0.19179102616724888,2154.4346900318824,2,57.72,22.513921619004243
0.19179102616724888,4641.588833612777,2,56.64,43.555405328539116
0.19179102616724888,10000,2,49.72,72.6088378459078
0.21049041445120203,1000,2,64.04,12.397849275848884
0.21049041445120203,2154.4346900318824,2,59.12,23.21156321031969
0.21049041445120203,4641.588833612777,2,54.68,40.0767180958388
0.21049041445120203,10000,2,53.48,68.70839347076405
0.23101297000831597,1000,2,66.76,18.65091597393186
0.23101297000831597,2154.4346900318824,2,58.12,23.143249555755993
0.23101297000831597,4641.588833612777,2,55.76,34.05177430521548
0.23101297000831597,10000,2,55.12,72.62651031131814
0.25353644939701114,1000,2,69.44,13.847623141415522
0.25353644939701114,2154.4346900318824,2,61.68,23.561479862974085
0.25353644939701114,4641.588833612777,2,58.24,36.40086995297411
0.25353644939701114,10000,2,52.56,61.78260272924734
0.27825594022071243,1000,2,70.36,15.3239464020641
0.27825594022071243,2154.4346900318824,2,61.44,20.56915165970634
0.27825594022071243,4641.588833612777,2,57.72,39.155161430731795
0.27825594022071243,10000,2,56.88,75.75966385001102
0.30538555088334157,1000,2,71.36,13.240971766956282
0.30538555088334157,2154.4346900318824,2,63.88,22.697870678399184
0.30538555088334157,4641.588833612777,2,58.92,37.60199462794493
0.30538555088334157,10000,2,57.84,68.84262245634362
0.3351602650938842,1000,2,71.64,15.66280094150894
0.3351602650938842,2154.4346900318824,2,64.24,24.644607253244406
0.3351602650938842,4641.588833612777,2,61.56,37.08445316661238
0.3351602650938842,10000,2,55.8,71.00762869814294
0.3678379771828633,1000,2,70.72,16.729514836559567
0.3678379771828633,2154.4346900318824,2,65.96,21.159080005205016
0.3678379771828633,4641.588833612777,2,60,39.14290059086918
0.3678379771828633,10000,2,58,66.80506467826123
0.4037017258596554,1000,2,73.24,13.760692812015924
0.4037017258596554,2154.4346900318824,2,64.88,21.529669450938318
0.4037017258596554,4641.588833612777,2,65.52,37.02827748266632
0.4037017258596554,10000,2,60.88,64.67245678545595
0.4430621457583881,1000,2,76.2,16.479785597310826
0.4430621457583881,2154.4346900318824,2,71.12,25.87199257884866
0.4430621457583881,4641.588833612777,2,65.52,38.62330902447381
0.4430621457583881,10000,2,59.96,62.865915513363305
0.4862601580065353,1000,2,75.04,15.2492622772382
0.4862601580065353,2154.4346900318824,2,71.04,25.862585588709674
0.4862601580065353,4641.588833612777,2,63.52,34.84742936478003
0.4862601580065353,10000,2,66.4,80.92331761200435
0.533669923120631,1000,2,78.36,15.874192892868601
0.533669923120631,2154.4346900318824,2,69.16,21.52455961609126
0.533669923120631,4641.588833612777,2,65.08,40.97552114779425
0.533669923120631,10000,2,62.52,68.28928661705778
0.5857020818056666,1000,2,76.96,14.695464152814864
0.5857020818056666,2154.4346900318824,2,72.56,25.258793848215845
0.5857020818056666,4641.588833612777,2,68.8,35.42362676707925
0.5857020818056666,10000,2,64.44,77.13196483948792
0.6428073117284321,1000,2,78.72,18.787229705307805
0.6428073117284321,2154.4346900318824,2,74.96,26.36203077660495
0.6428073117284321,4641.588833612777,2,67.36,32.47034544524177
0.6428073117284321,10000,2,66.96,69.19927745287518
0.7054802310718643,1000,2,75.84,15.592947123619705
0.7054802310718643,2154.4346900318824,2,77.04,25.907656525951293
0.7054802310718643,4641.588833612777,2,71.72,40.18345430646798
0.7054802310718643,10000,2,67.56,68.87493496669646
0.774263682681127,1000,2,78.6,17.49047359755209
0.774263682681127,2154.4346900318824,2,76.56,26.345587865902708
0.774263682681127,4641.588833612777,2,71.84,36.75445551222328
0.774263682681127,10000,2,70.2,70.46334744626694
0.8497534359086443,1000,2,80.76,20.763108309370892
0.8497534359086443,2154.4346900318824,2,76.64,21.478438801117118
0.8497534359086443,4641.588833612777,2,73.64,35.574897516835286
0.8497534359086443,10000,2,67.96,63.09680393384967
0.93260334688322,1000,2,79.88,20.777231127687187
